PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
0,https://estetiacrm.com.br/en/help/[category]/google-calendar,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/integracoes/google-calendar
0,https://estetiacrm.com.br/en/ajuda,,text/html; charset=utf-8,false,404,0,2,false,1,https://estetiacrm.com.br/ajuda
0,https://estetiacrm.com.br/en/help/[category]/filtros-busca,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/pipeline-negocios/filtros-busca
0,https://estetiacrm.com.br/en/help/analytics/analytics-basico,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/analytics/analytics-basico
0,https://estetiacrm.com.br/en/help/contatos/importar-contatos-csv,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/contatos/importar-contatos-csv
0,https://estetiacrm.com.br/en/help/pipeline-negocios/deals-perdidos,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/pipeline-negocios/deals-perdidos
0,https://estetiacrm.com.br/features/marketing,,text/html; charset=utf-8,false,404,0,1,false,3,https://estetiacrm.com.br/
0,https://estetiacrm.com.br/en/help/[category]/integracao-whatsapp,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/integracoes/integracao-whatsapp
0,https://estetiacrm.com.br/en/help/automacoes/automacoes-email,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/automacoes/automacoes-email
0,https://estetiacrm.com.br/features/analytics,,text/html; charset=utf-8,false,404,0,1,false,3,https://estetiacrm.com.br/
0,https://estetiacrm.com.br/en/cadastrar,,text/html; charset=utf-8,false,404,0,3,false,1,https://estetiacrm.com.br/cadastrar
0,https://estetiacrm.com.br/en/help/[category]/permissoes-equipe,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/equipe/permissoes-equipe
0,https://estetiacrm.com.br/en/help/pipeline-negocios/tags-custom-fields,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/pipeline-negocios/tags-custom-fields
0,https://estetiacrm.com.br/en/help/primeiros-passos/melhores-praticas-vendas,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/primeiros-passos/melhores-praticas-vendas
0,https://estetiacrm.com.br/en/help/[category]/forecasting-vendas,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/analytics/forecasting-vendas
0,https://estetiacrm.com.br/help/[categoria]/free-vs-pro,,text/html; charset=utf-8,false,404,0,3,false,2,https://estetiacrm.com.br/en/help/[category]/free-vs-pro
0,https://estetiacrm.com.br/en/help/pipeline-negocios/personalizar-etapas,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/pipeline-negocios/personalizar-etapas
0,https://estetiacrm.com.br/en/help/primeiros-passos/atalhos-teclado,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/primeiros-passos/atalhos-teclado
0,https://estetiacrm.com.br/en/help/pipeline-negocios/entendendo-pipeline-kanban,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/pipeline-negocios/entendendo-pipeline-kanban
0,https://estetiacrm.com.br/en/help/[category]/gerenciar-assinatura,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/planos/gerenciar-assinatura
0,https://estetiacrm.com.br/en/help/pipeline-negocios/filtros-busca,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/pipeline-negocios/filtros-busca
0,https://estetiacrm.com.br/en/help/[category]/cadastrar-contatos,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/contatos/cadastrar-contatos
0,https://estetiacrm.com.br/en/help/integracoes/google-calendar,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/integracoes/google-calendar
0,https://estetiacrm.com.br/features/agenda,,text/html; charset=utf-8,false,404,0,1,false,3,https://estetiacrm.com.br/
0,https://estetiacrm.com.br/en/help/equipe/configurar-notificacoes,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/equipe/configurar-notificacoes
0,https://estetiacrm.com.br/en/help/[category]/configurar-notificacoes,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/equipe/configurar-notificacoes
0,https://estetiacrm.com.br/en/help/[category]/analytics-basico,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/analytics/analytics-basico
0,https://estetiacrm.com.br/en/help/[category]/tags-custom-fields,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/pipeline-negocios/tags-custom-fields
0,https://estetiacrm.com.br/features/prontuario-digital,,text/html; charset=utf-8,false,404,0,2,false,3,https://estetiacrm.com.br/pt-BR/features/prontuario-digital
0,https://estetiacrm.com.br/en/help/[category]/personalizar-etapas,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/pipeline-negocios/personalizar-etapas
0,https://estetiacrm.com.br/en/help/[category]/atalhos-teclado,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/primeiros-passos/atalhos-teclado
0,https://estetiacrm.com.br/en/help/[category]/automacoes-email,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/automacoes/automacoes-email
0,https://estetiacrm.com.br/en/help/equipe/configurar-perfil,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/equipe/configurar-perfil
0,https://estetiacrm.com.br/en/help/primeiros-passos/troubleshooting,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/primeiros-passos/troubleshooting
0,https://estetiacrm.com.br/automated-sales,,text/html; charset=utf-8,false,404,0,2,false,2,https://estetiacrm.com.br/en/automated-sales
0,https://estetiacrm.com.br/en/help/[category]/criar-primeiro-negocio,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/primeiros-passos/criar-primeiro-negocio
